"Expenses  > Salary Expenses ( 401001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Salary Expenses ","401001","","",
EE-2024-0000335,401001,Salary Expenses,Sweeper ,01-04-2025,March 2025,,, Salary Expenses ,401001,1800,,
EE-2024-0000336,401001,Salary Expenses,Pumpman,01-04-2025,March 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000083,401001,Salary Expenses,Pumpman,30-04-2025,April 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000085,401001,Salary Expenses,Sweeper ,30-04-2025,April 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000103,401001,Salary Expenses,Pumpman,31-05-2025,May 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000105,401001,Salary Expenses,Sweeper ,31-05-2025,May 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000116,401001,Salary Expenses,Sweeper ,03-07-2025,June 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000120,401001,Salary Expenses,Pumpman,03-07-2025,June 2025 - Laxman,,, Salary Expenses ,401001,1800,,
EE-2025-0000128,401001,Salary Expenses,Pumpman,31-07-2025,July 2025 - Laxman,,, Salary Expenses ,401001,1800,,
EE-2025-0000130,401001,Salary Expenses,Sweeper ,31-07-2025,July 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000138,401001,Salary Expenses,Sweeper ,31-08-2025,August 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000144,401001,Salary Expenses,Pumpman,31-08-2025,August 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000146,401001,Salary Expenses,Pumpman,30-09-2025,Sept 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000150,401001,Salary Expenses,Sweeper ,30-09-2025,Sept 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000161,401001,Salary Expenses,Pumpman,31-10-2025,Oct 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000163,401001,Salary Expenses,Sweeper ,31-10-2025,Oct 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000239,401001,Salary Expenses,Pumpman,03-12-2025,Nov 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000241,401001,Salary Expenses,Sweeper ,03-12-2025,Nov 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000249,401001,Salary Expenses,Pumpman,01-01-2026,Dec - 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000253,401001,Salary Expenses,Sweeper ,01-01-2026,Dec - 2025,,, Salary Expenses ,401001,1800,,
EE-2025-0000257,401001,Salary Expenses,Pumpman,01-02-2026,Jan 2026,,, Salary Expenses ,401001,1800,,
EE-2025-0000259,401001,Salary Expenses,Sweeper ,01-02-2026,Jan 2026,,, Salary Expenses ,401001,1800,,
EE-2025-0000271,401001,Salary Expenses,Sweeper ,01-03-2026,Feb 2026,,, Salary Expenses ,401001,1800,,
EE-2025-0000273,401001,Salary Expenses,Pumpman,01-03-2026,Feb 2026,,, Salary Expenses ,401001,1800,,
JE-2025-0000056,401001,Salary Expenses,,01-04-2025,Being salaries provided for Mar 25 Reversed,,, Salary Expenses ,401001,,4800.00,
JE-2025-0000057,401001,Salary Expenses,,31-03-2026,Being salaries provided for Mar 26,,, Salary Expenses ,401001,4800.00,,

"Balance : 43200(Debit)","","","","","","","","","","48000","4800",

"Expenses  > Bonus ( 401002 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Bonus ","401002","","",
EE-2025-0000245,401002,Bonus,Cleaner,01-01-2026,Being paid to kadakchand for bonus,,, Bonus ,401002,1200,,
EE-2025-0000251,401002,Bonus,Pumpman,01-01-2026,Being paid to laxman for diwali bonus,,, Bonus ,401002,1800,,
