"Expenses  > Salary Expenses ( 401001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Salary Expenses ","401001","","",
EE-2025-0000020,401001,Salary Expenses,Sweeper,28-04-2025,Apr-2025,,, Salary Expenses ,401001,4000,,
EE-2025-0000022,401001,Salary Expenses,Sweeper,31-05-2025,May-2025,,, Salary Expenses ,401001,4000,,
EE-2025-0000039,401001,Salary Expenses,Sweeper,30-06-2025,Jun-2025,,, Salary Expenses ,401001,4000,,
EE-2025-0000047,401001,Salary Expenses,Sweeper,30-07-2025,July-2025,,, Salary Expenses ,401001,4000,,
EE-2025-0000055,401001,Salary Expenses,Sweeper,31-08-2025,Aug-2025,,, Salary Expenses ,401001,4000,,
EE-2025-0000064,401001,Salary Expenses,Sweeper,30-09-2025,Sep-2025,,, Salary Expenses ,401001,4000,,
EE-2025-0000197,401001,Salary Expenses,Sweeper,31-10-2025,Oct-25 Amutha,,, Salary Expenses ,401001,4000,,
EE-2026-0000001,401001,Salary Expenses,Sweeper,30-11-2025,Nov-2025 - Amutha,,, Salary Expenses ,401001,4000,,
EE-2025-0000209,401001,Salary Expenses,Sweeper,31-12-2025,Dec-2025 - Amutha,,, Salary Expenses ,401001,4000,,
EE-2025-0000215,401001,Salary Expenses,Sweeper,31-01-2026,Jan-2026 - Amutha,,, Salary Expenses ,401001,4000,,
EE-2025-0000216,401001,Salary Expenses,Sweeper,31-01-2026,Bonus for FY 2025-26 - Amutha,,, Salary Expenses ,401001,4000,,
EE-2025-0000218,401001,Salary Expenses,Sweeper,28-02-2026,Feb-26 - Amutha,,, Salary Expenses ,401001,4000,,
EE-2025-0000246,401001,Salary Expenses,Sweeper,31-03-2026,Mar 26,,, Salary Expenses ,401001,4000,,

"Balance : 52000(Debit)","","","","","","","","","","52000","0",

"Expenses  > Property Tax ( 402001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Property Tax ","402001","","",
EE-2025-0000050,402001,Property Tax,BMC,15-05-2025,PN1805240090000 For period 01.04.25 to 30.09.25,,, Property Tax ,402001,6827,,
EE-2025-0000051,402001,Property Tax,BMC,15-05-2025,PN1805240090000 For Period 01.10.25 to 31.03.26,,, Property Tax ,402001,6827,,

"Balance : 13654(Debit)","","","","","","","","","","13654","0",

"Expenses  > Electricity Expenses ( 403001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Electricity Expenses ","403001","","",
EE-2025-0000072,403001,Electricity Expenses,Tata Power,01-05-2025,CA 389817 - Apr-2025,,, Electricity Expenses ,403001,3734,,
EE-2025-0000074,403001,Electricity Expenses,Tata Power,01-05-2025,CA 389761 - Apr-2025,,, Electricity Expenses ,403001,1932,,
EE-2025-0000078,403001,Electricity Expenses,Tata Power,01-06-2025,CA 389761 - May-2025,,, Electricity Expenses ,403001,2332,,
EE-2025-0000076,403001,Electricity Expenses,Tata Power,02-06-2025,CA 389817 - May-2025,,, Electricity Expenses ,403001,4008,,
EE-2025-0000080,403001,Electricity Expenses,Tata Power,30-06-2025,CA 389761 - Jun-2025,,, Electricity Expenses ,403001,2473,,
EE-2025-0000081,403001,Electricity Expenses,Tata Power,01-07-2025,CA 389817 - Jun-2025,,, Electricity Expenses ,403001,3866,,
EE-2025-0000084,403001,Electricity Expenses,Tata Power,01-08-2025,CA 389761 - July-2025,,, Electricity Expenses ,403001,2540,,
EE-2025-0000086,403001,Electricity Expenses,Tata Power,01-08-2025,CA 389817 - July-2025,,, Electricity Expenses ,403001,3851,,
